participant,target_distr_rel,be_c
S2,T<D,3.66970332674064
S2,T<D,2.31371459386827
S2,T<D,11.2926590390927
S2,T>D,2.89721809800414
S2,T>D,-17.8585453445822
S2,T>D,-5.38133274328322
S2,T>D,3.94236708618889
S2,T>D,-27.2760995405872
S2,T>D,3.27705447885995
S2,T<D,-13.782282542514
S2,T>D,16.9917544788599
S2,T>D,-4.85368774856945
S2,T>D,9.82305235047163
S2,T>D,21.0332481881963
S2,T>D,17.7902483864201
S2,T<D,8.2914636542056
S2,T<D,-31.6520907715707
S2,T<D,3.04693793327505
S2,T<D,-6.92760711637444
S2,T<D,2.82091025954884
S2,T>D,3.24747679421629
S2,T<D,6.71381927291402
S2,T>D,-1.74714269993721
S2,T>D,-9.85775293684998
S2,T>D,17.1513601786619
S2,T>D,7.58098163903918
S2,T>D,-11.6892537870249
S2,T<D,7.60824818819625
S2,T>D,-5.07141767422853
S2,T>D,4.16226017866192
S2,T>D,18.2884904761343
S2,T<D,-0.215597230728837
S2,T>D,-4.92374552768473
S2,T>D,-5.9019583564349
S2,T<D,-0.280262762859023
S2,T<D,-17.2433881607239
S2,T<D,-10.6746085880417
S2,T>D,4.79746365420559
S2,T>D,4.2666222195345
S2,T<D,8.04172221953451
S2,T>D,-0.343383071062169
S2,T>D,7.19530527926589
S2,T>D,-7.24878816072388
S2,T>D,18.0259286193925
S2,T<D,0.547561463875492
S2,T<D,-5.46852727497574
S2,T<D,23.3723449658407
S2,T>D,17.5273122514305
S2,T<D,-4.84559077157066
S2,T>D,-1.33518072708599
S2,T<D,-20.8553037198952
S2,T<D,2.14317258336778
S2,T<D,-5.47043197821432
S2,T>D,-10.5301830710622
S2,T<D,7.76381713121201
S2,T>D,0.523629997860124
S2,T<D,3.85724838642012
S2,T<D,13.2803607175426
S2,T>D,10.2437145938683
S2,T<D,-2.00131351727756
S2,T<D,0.0243670861889149
S2,T<D,-18.8808274166322
S2,T>D,-1.58319271910855
S2,T>D,6.94307939331019
S2,T>D,33.1228925591183
S2,T<D,-8.85178559627563
S2,T>D,0.954348188196254
S2,T<D,-14.5476283497564
S2,T<D,-15.7295398213381
S2,T>D,6.5649614638755
S2,T<D,-4.61349014533707
S2,T>D,4.12538293204877
S2,T<D,1.85807382712868
S2,T>D,0.148919272914006
S2,T>D,3.24111713121202
S2,T<D,-14.8300713806075
S2,T>D,-3.05229728227942
S2,T>D,13.6073098546629
S2,T<D,-9.22825293684997
S2,T<D,-24.8928902536535
S2,T>D,6.48666242088694
S2,T<D,15.7178896491949
S2,T>D,-24.8388995405872
S2,T>D,19.9194329800931
S2,T<D,6.95753516750115
S2,T<D,-26.3396988197173
S2,T>D,15.0555790716146
S2,T>D,0.969712350471628
S2,T<D,3.6451048271287
S2,T<D,-8.41818286878795
S2,T>D,12.6633829320488
S2,T>D,-15.0123713806075
S2,T>D,8.5104123103096
S2,T<D,-6.76598540613171
S2,T>D,28.0948896491949
S2,T>D,15.5757033267406
S2,T>D,8.01021809800414
S2,T<D,8.83248664103895
S2,T<D,-4.26503853612448
S2,T<D,9.54397165024358
S2,T<D,5.61574276927117
S2,T>D,-3.96934096090728
S2,T<D,-2.29566751744272
S2,T<D,-2.28429077157064
S2,T<D,-6.95302834975641
S2,T>D,2.01038293204877
S2,T>D,8.99208648272245
S2,T>D,-0.576010350805071
S2,T<D,10.0001870153738
S2,T>D,9.33074276927116
S3,T<D,-5.5060905876888
S3,T<D,-10.6037370815044
S3,T<D,-5.95209072243255
S3,T>D,-16.5847780082779
S3,T<D,-26.8538437529483
S3,T<D,0.472609412311205
S3,T<D,-5.34089113721697
S3,T<D,-11.36460098641
S3,T<D,-14.6504777924896
S3,T>D,-6.40777921036912
S3,T>D,-0.93978050490755
S3,T>D,16.0439167731781
S3,T>D,-7.87739484324557
S3,T<D,0.562020984015022
S3,T>D,7.05984337175843
S3,T>D,-33.8446169182662
S3,T>D,-11.8236341336001
S3,T<D,-18.1409401038492
S3,T<D,3.55495624705167
S3,T>D,-11.6348389167814
S3,T>D,-3.15157458159115
S3,T>D,-10.244387134648
S3,T<D,9.33780586476721
S3,T>D,-13.2994940024743
S3,T>D,-9.63665746069754
S3,T<D,10.7217823508732
S3,T>D,23.1031222075103
S3,T>D,-4.19766727506273
S3,T>D,-1.44203213980705
S3,T>D,9.6571662502139
S3,T<D,4.44189777059099
S3,T>D,1.71002098401502
S3,T>D,12.6406558306351
S3,T>D,4.47254573466577
S3,T>D,8.09010922483247
S3,T<D,14.0443494574891
S3,T<D,9.14419901359003
S3,T>D,-9.63288225870928
S3,T>D,-9.81276727506275
S3,T<D,-2.32321764912678
S3,T<D,3.60696263759862
S3,T>D,-7.33365746069754
S3,T<D,-19.846771137217
S3,T<D,-7.15243213980707
S3,T<D,-11.3962274022048
S3,T<D,-13.7152067328398
S3,T<D,3.4581241596765
S3,T>D,18.2982403465186
S3,T>D,-12.6695705173319
S3,T>D,13.5773079464991
S3,T>D,-5.2900033081718
S3,T<D,0.00691677317813932
S3,T<D,-8.7778192301612
S3,T<D,-3.16517779248965
S3,T>D,-2.48557458159115
S3,T<D,-3.51529887784614
S3,T<D,-2.85004291045632
S3,T>D,-5.40075400068192
S3,T<D,3.53601495200945
S3,T>D,-17.5457014878215
S3,T>D,-4.81427971672773
S3,T>D,-15.4027647344572
S3,T<D,7.27789851217847
S3,T<D,-13.381308908013
